modul	root_package_ist	alt_imports_anzahl	namespace_ist	appid_ist	manifest_id	rootProject_name	version_gradle	zip_name	catalog_id	migration_status
fsharp-lsp	com.scto.mobile.ide.plugin.fs	0	com.scto.mobile.ide.plugin.fs	com.scto.mobile.ide.plugin.fs	com.scto.mobile.ide.plugin.fs	MobileIDE Plugin: F# Support	0.1.0	com.scto.mobile.ide.plugin.fs-0.1.0.zip	com.scto.mobile.ide.plugin.fs	MIGRIERT
go-lsp	com.scto.mobile.ide.plugin.go	0	com.scto.mobile.ide.plugin.go	com.scto.mobile.ide.plugin.go	com.scto.mobile.ide.plugin.go	MobileIDE Plugin: Go Support	0.2.0	com.scto.mobile.ide.plugin.go-0.2.0.zip	com.scto.mobile.ide.plugin.go	MIGRIERT
json-lsp	com.scto.mobile.ide.plugin.json	0	com.scto.mobile.ide.plugin.json	com.scto.mobile.ide.plugin.json	com.scto.mobile.ide.plugin.json	MobileIDE Plugin: JSON Support	1.0.2	com.scto.mobile.ide.plugin.json-1.0.2.zip	com.scto.mobile.ide.plugin.json	MIGRIERT
lua-lsp	com.scto.mobile.ide.plugin.lua	0	com.scto.mobile.ide.plugin.lua	com.scto.mobile.ide.plugin.lua	com.scto.mobile.ide.plugin.lua	MobileIDE Plugin: Lua Support	1.0.2	com.scto.mobile.ide.plugin.lua-1.0.2.zip	com.scto.mobile.ide.plugin.lua	MIGRIERT
prettier-lsp	com.scto.mobile.ide.plugin.prettier	0	com.scto.mobile.ide.plugin.prettier	com.scto.mobile.ide.plugin.prettier	com.scto.mobile.ide.plugin.prettier	MobileIDE Plugin: Prettier Support	1.0.0	com.scto.mobile.ide.plugin.prettier-1.0.0.zip	com.scto.mobile.ide.plugin.prettier	MIGRIERT
python-lsp	com.scto.mobile.ide.plugin.python	0	com.scto.mobile.ide.plugin.python	com.scto.mobile.ide.plugin.python	com.scto.mobile.ide.plugin.python	MobileIDE Plugin: Python Support	1.0.3	com.scto.mobile.ide.plugin.python-1.0.3.zip	com.scto.mobile.ide.plugin.python	MIGRIERT
rust-lsp	com.scto.mobile.ide.plugin.rust	0	com.scto.mobile.ide.plugin.rust	com.scto.mobile.ide.plugin.rust	com.scto.mobile.ide.plugin.rust	MobileIDE Plugin: Rust Support	1.0.2	com.scto.mobile.ide.plugin.rust-1.0.2.zip	com.scto.mobile.ide.plugin.rust	MIGRIERT
typst-lsp	com.scto.mobile.ide.plugin.typst	0	com.scto.mobile.ide.plugin.typst	com.scto.mobile.ide.plugin.typst	com.scto.mobile.ide.plugin.typst	MobileIDE Plugin: Typst Support	1.2.3	com.scto.mobile.ide.plugin.typst-1.2.3.zip	com.scto.mobile.ide.plugin.typst	MIGRIERT
zig-lsp	com.scto.mobile.ide.plugin.zig	0	com.scto.mobile.ide.plugin.zig	com.scto.mobile.ide.plugin.zig	com.scto.mobile.ide.plugin.zig	MobileIDE Plugin: Zig Support	0.4.0	com.scto.mobile.ide.plugin.zig-0.4.0.zip	com.scto.mobile.ide.plugin.zig	MIGRIERT
